id,name
1,ADRAR
2,CHLEF
3,LAGHOUAT
4,OUM EL BOUAGHI
5,BATNA
6,BEJAIA
7,BISKRA
8,BECHAR
9,BLIDA
10,BOUIRA
11,TAMNGHASSET
12,TEBESSA
13,TLEMCEN
14,TIARET
15,TIZI OUZOU
16,ALGER
17,DJELFA
18,JIJEL
19,SETIF
20,SAIDA
21,SKIKDA
22,SIDI BEL ABBES
23,ANNABA
24,GUELMA
25,CONSTANTINE
26,MEDEA
27,MOSTAGANEM
28,MSILA
29,MASCARA
30,OUARGLA
31,ORAN
32,EL BAYADH
33,ILLIZI
34,BORDJ BOU ARRERIDJ
35,BOUMERDES
36,EL TARF
37,TINDOUF
38,TISSEMSILT
39,EL OUED
40,KHENCHELA
41,SOUK AHRAS
42,TIPAZA
43,MILA
44,AIN DEFLA
45,NAAMA
46,AIN TEMOUCHENT
47,GHARDAIA 
48,RELIZANE
49,Timimoun        
50,Bordj Badji Mokhtar 
51,Ouled Djellal 
52,BENI ABBES    
53,IN SALAH          
54,IN GUEZZAM    
55,Touggourt
56,Djanet  
57,El Meghaier
58,El Meniaa
